company,list,qty,unit,fullname,list_eng,list_km,list_lo,list_my,list_zh
A,พ่นเข้าจมูกข้างละ,2-Jan,ครั้ง,พ่นเข้าจมูกข้างละ 1-2 ครั้ง,Spray 1-2 times into each nostril.,បាញ់ 1-2 ដងក្នុងរន្ធច្រមុះនីមួយៗ។,ສີດ 1-2 ເທື່ອໃສ່ຮູດັງແຕ່ລະຄົນ.,နှာခေါင်းပေါက်တစ်ခုစီသို့ 1-2 ကြိမ်ဖြန်းပါ။,每个鼻孔喷1-2次。
A,พ่นเข้าจมูกข้างละ,3-Jan,ครั้ง,พ่นเข้าจมูกข้างละ 1-2 ครั้ง,Spray 1-2 times into each nostril.,បាញ់ 1-2 ដងក្នុងរន្ធច្រមុះនីមួយៗ។,ສີດ 1-2 ເທື່ອໃສ່ຮູດັງແຕ່ລະຄົນ.,နှာခေါင်းပေါက်တစ်ခုစီသို့ 1-2 ကြိမ်ဖြန်းပါ။,每个鼻孔喷1-2次。
A,พ่นเข้าจมูกข้างละ,........,ครั้ง,พ่นเข้าจมูกข้างละ ........ ครั้ง,Spray into each nostril ........ times.,បាញ់ចូលរន្ធច្រមុះនីមួយៗ........ដង។,ສີດເຂົ້າໄປໃນຮູດັງແຕ່ລະຄັ້ງ........ຄັ້ງ.,နှာခေါင်းပေါက်တစ်ခုစီသို့ ........အကြိမ်ရေဖြန်းပါ။,向每个鼻孔喷......次。
A,หยอดครั้งละ,3-Feb,หยด,หยอดครั้งละ 2-3 หยด,Instill 2-3 drops at a time.,ចាក់ 2-3 ដំណក់ក្នុងពេលតែមួយ។,Instill 2-3 ຢອດຕໍ່ຄັ້ງ.,တစ်ကြိမ်လျှင် 2-3 စက်ထည့်ပါ။,每次滴入2-3滴。
A,หยอดครั้งละ,1,แท่ง,หยอดครั้งละ 1 แท่ง,Drop 1 stick at a time.,ទម្លាក់ 1 បន្ទះក្នុងពេលតែមួយ។,ຖິ້ມ 1 ໄມ້ຕໍ່ຄັ້ງ.,တစ်ကြိမ်လျှင် ၁ ချောင်းချပေးပါ။,一次丢下一根棍子。
A,เหน็บครั้งละ,1,แท่ง,เหน็บครั้งละ 1 แท่ง,Insert one stick at a time.,បញ្ចូលដំបងមួយក្នុងពេលតែមួយ។,ໃສ່ໄມ້ໜຶ່ງຄັ້ງ.,တစ်ကြိမ်လျှင် တစ်ချောင်းထည့်ပါ။,一次插入一根棍子。
A,รับประทานครั้งละ,2-Jan,ช้อนโต๊ะ,รับประทานครั้งละ 1-2 ช้อนโต๊ะ,Take 1-2 tablespoons at a time.,យក 1-2 ស្លាបព្រាបាយក្នុងពេលតែមួយ។,ກິນເທື່ອລະ 1-2 ບ່ວງແກງ.,တစ်ကြိမ်လျှင် 1-2 ဇွန်းယူပါ။,每次服用1-2汤匙。
A,รับประทานครั้งละ,3-Jan,เม็ด,รับประทานครั้งละ 1-2 เม็ด,Take 1-2 tablets at a time.,លេប 1-2 គ្រាប់ក្នុងពេលតែមួយ។,ກິນເທື່ອລະ 1-2 ເມັດ.,တစ်ကြိမ်လျှင် 1-2 ပြားသောက်ပါ။,每次服用1-2片。
A,รับประทานครั้งละ,1,ช้อนโต๊ะ,รับประทานครั้งละ 1 ช้อนโต๊ะ,Take 1 tablespoon at a time.,យក 1 ស្លាបព្រាក្នុងមួយពេល។,ກິນເທື່ອລະ 1 ບ່ວງແກງ.,တစ်ကြိမ်လျှင် 1 ဇွန်းသောက်ပါ။,每次服用 1 汤匙。
A,ทาวันละ,3-Feb,ครั้ง,ทาวันละ 2-3 ครั้ง,Apply 2-3 times a day.,,ສະຫມັກ 2-3 ເທື່ອຕໍ່ມື້.,တစ်နေ့ 2-3 ကြိမ် Apply ။,每天涂抹2-3次。
A,ทาวันละ,4-Mar,ครั้ง,ทาวันละ 3-4 ครั้ง,Apply 3-4 times a day.,លាប 3-4 ដងក្នុងមួយថ្ងៃ។,ໃຊ້ 3-4 ເທື່ອຕໍ່ມື້.,တစ်နေ့ ၃-၄ ကြိမ် လိမ်းပေးပါ။,每天使用3-4次。
A,รับประทานครั้งละ,ครึ่ง,เม็ด,รับประทานครั้งละ ครึ่ง เม็ด,Take half a tablet at a time.,លេបថ្នាំកន្លះគ្រាប់ក្នុងពេលតែមួយ។,ເອົາເຄິ່ງເມັດຕໍ່ຄັ້ງ.,တစ်ကြိမ်လျှင် ဆေးပြားတစ်ဝက်သောက်ပါ။,每次服用半片。
A,รับประทานครั้งละ,1,ช้อนชา,รับประทานครั้งละ 1 ช้อนชา,Take 1 teaspoon at a time.,យក 1 ស្លាបព្រាក្នុងមួយពេល។,ເອົາ 1 ບ່ວງກາເຟຕໍ່ຄັ້ງ.,တစ်ကြိမ်လျှင် လက်ဖက်ရည်ဇွန်း ၁ ဇွန်းသောက်ပါ။,每次服用 1 茶匙。
A,เหน็บครั้งละ,2,เม็ด,เหน็บครั้งละ 2 เม็ด,,,,,
A,รับประทานครั้งละ,2,เม็ด,รับประทานครั้งละ 2 เม็ด,Take 2 tablets at a time.,លេប 2 គ្រាប់ក្នុងពេលតែមួយ។,ກິນ 2 ເມັດຕໍ່ຄັ້ງ.,တစ်ကြိမ်လျှင် 2 ပြားသောက်ပါ။,每次服用2片。
A,รับประทานครั้งละ,.........,เม็ด,รับประทานครั้งละ ............. เม็ด,Take ............. tablets at a time.,លេប ............. គ្រាប់ក្នុងពេលតែមួយ។,ກິນ.............ເທື່ອລະເມັດ.,............. တက်ဘလက်များကို တစ်ကြိမ်သောက်ပါ။,每次服用.............片。
A,รับประทานครั้งละ,.........,ช้อนชา,รับประทานครั้งละ  ช้อนชา,,,,,
A,รับประทานครั้งละ,.........,.........,รับประทานครั้งละ  ,Eat one at a time,,ກິນກິນ,တစ်ကြိမ်မှာတ ဦး တည်းစားပါ,一次吃一个
A,รับประทานตามแพทย์สั่ง,.,.,รับประทานตามแพทย์สั่ง  ,Take as prescribed by the doctor.,,ຖືເປັນທີ່ໄດ້ກໍານົດໄວ້ໂດຍທ່ານຫມໍ.,ဆရာဝန်ကသတ်မှတ်ထားတဲ့အတိုင်းယူပါ။,按照医生的处方服用。
A,รับประทานครั้งละ,4,เม็ด,รับประทานครั้งละ 3-4 เม็ด,Take 3-4 tablets at a time.,,ເອົາເມັດ 3-4 ໃນແຕ່ລະຄັ້ງ.,တစ်ကြိမ်တွင် 3-4 တက်ဘလက်များကိုယူပါ။,一次服用 3-4 片。
A,ทาวันละ,1,ครั้ง,ทาวันละ 1 ครั้ง,Apply once a day,អនុវត្តម្តងក្នុងមួយថ្ងៃ,ສະຫມັກຫນຶ່ງຄັ້ງຕໍ່ມື້,တစ်နေ့တစ်ကြိမ် လိမ်းပေးပါ။,每天使用一次
A,รับประทานครั้งละ,1,เม็ด,รับประทานครั้งละ 1 เม็ด,Take 1 tablet at a time.,លេប 1 គ្រាប់ក្នុងពេលតែមួយ។,ກິນເທື່ອລະ 1 ເມັດ.,တစ်ကြိမ်လျှင် ၁ ပြားသောက်ပါ။,每次服用 1 片。
A,รับประทานครั้งละ,,,รับประทานครั้งละ ..... ml,Take each time ..... ml,ចំណាយពេលរាល់ពេល ..... អិមអិមអិល,ໃຊ້ເວລາໃນແຕ່ລະຄັ້ງ ..... ml,တစ်ခုချင်းစီကိုအချိန်ယူ ..... ml,每次吃.....ml
A,ทาวันละ,3,ครั้ง,ทาวันละ 3 ครั้ง,Apply 3 times a day,លាប 3 ដងក្នុងមួយថ្ងៃ,ໃຊ້ 3 ເທື່ອຕໍ່ມື້,တစ်နေ့ ၃ ကြိမ် လိမ်းပေးပါ။,每天涂抹3次
