list,company,list_eng,list_km,list_lo,list_my,list_zh
รักษากระเพาะอาหารอักเสบ,A,Treatment of gastritis,ការព្យាបាលជំងឺរលាកក្រពះ,ການປິ່ນປົວພະຍາດອັກເສບ,အစာအိမ်ရောင်ရောဂါ ကုသမှု,胃炎治疗
รักษาแผลในกระเพาะอาหาร,A,Treatment of stomach ulcers,ការព្យាបាលដំបៅក្រពះ,ການປິ່ນປົວພະຍາດແຜໃນທ້ອງ,အစာအိမ်အနာကုသမှု,胃溃疡治疗
รักษาโรคกระเพาะ,A,Treatment of gastritis,ការព្យាបាលជំងឺរលាកក្រពះ,ການປິ່ນປົວພະຍາດອັກເສບ,အစာအိမ်ရောင်ရောဂါ ကုသမှု,胃炎治疗
แก้ปวดเกร็งท้อง,A,Relieve abdominal cramps,បំបាត់ការរមួលក្រពះ,ບັນເທົາຄວາມເຈັບປວດໃນທ້ອງ,ဝမ်းဗိုက်ကြောခြင်းကို သက်သာစေပါ,缓解腹部痉挛
ยาหยุดถ่าย,A,The drug stopped taking,ថ្នាំឈប់ទទួលទាន,ຢາ ເສບ ຕິດ ໄດ້ ຢຸດ ໃຊ້,ဆေးဝါး သည် ရပ်တန့် ခဲ့ သည်,药物停止起效了
ปรับสมดุลลำไส้,A,balancing the intestines;,តុល្យភាពពោះវៀន;,ຄວາມ ສົມ ດຸນ ຂອງ ໄຂ່;,အူကို ဟန်ချက်ညီစေခြင်း;,肠道平衡;
เพิ่มจุลินทรีย์ในลำไส้,A,Increases the intestinal microflora.,បង្កើន microflora ពោះវៀន។,ເພີ່ມຈຸລິນຊີໃນลําไส้.,အူလမ်းကြောင်း အဏုဇီဝပိုးမွှားများကို တိုးများစေသည်။,增加肠道微生物群。
รักษาริดสีดวงทวาร,A,Hemorrhoids treatment,ការព្យាបាលជំងឺរលាកសួត,ການປິ່ນປົວພະຍາດໄຂ້ຫວັດ,သွေးကြောရောဂါ ကုသမှု,痔疮治疗
ลดภาวะเลือดออกจากริดสีดวงทวาร,A,Reduces hemorrhoidal bleeding,កាត់បន្ថយការហូរឈាមតាមជំងឺគ្រុនឈាម,ລົດເລືອດຕົກ,သွေးကြောသွေးထွက်ခြင်းကို လျော့နည်းစေသည်,减少痔疮出血
แก้ท้องผูก,A,Constipation Relief,ការបំបាត់ការទល់លាមក,ບັນເທົາອາການແພ້,ဝမ်းချုပ်သက်သာစေခြင်း,便秘缓解
ยาถ่ายพยาธิ,A,anthelmintic drugs;,ថ្នាំ anthelmintic;,ຢາແກ້ພະຍາດ;,ပိုးသတ်ဆေးများ;,驱虫药;
โรคข้อเข่าเสื่อม อาการปวดเข่า,A,"Osteoarthritis, knee pain.","ជំងឺរលាកសន្លាក់ឆ្អឹង, ឈឺជង្គង់។","Osteoarthritis, ຫົວເຂົ່າເຈັບ.",ရိုးဆက်ရောင်ရမ်းနာ၊ ဒူးနာကျင်ခြင်း။,骨关节炎，膝盖疼痛。
ลดปวด ลดอักเสบ,A,Reduce pain and inflammation,កាត់បន្ថយការឈឺចាប់និងការរលាក,ຫລຸດຜ່ອນຄວາມເຈັບປວດ ແລະ ການອັກເສບ,နာကျင်မှုနှင့် ရောင်ရမ်းမှုကို လျော့နည်းစေပါ,减轻疼痛和炎症
รักษาไทรอยด์,A,Thyroid treatment,ការព្យាបាលក្រពេញទីរ៉ូអ៊ីត,ການປິ່ນປົວ Thyroid,သိုင်းရွိုက်ကုသမှု,甲状腺治疗
แก้ไอแห้ง,A,Dry cough,ក្អកស្ងួត,ອາການໄອແຫ້ງ,ချောင်းခြောက်ဆိုးခြင်း,干咳
ลดน้ำมูก  ลดอาการแพ้ผื่นคัน,A,"Reduce nasal discharge, reduce allergic reactions and itching rashes.",កាត់បន្ថយការហូរច្រមុះ កាត់បន្ថយប្រតិកម្មអាឡែហ្ស៊ី និងកន្ទួលរមាស់។,"ຫລຸດຜ່ອນນໍ້າໄຫຼອອກຈາກດັງ, ຫລຸດຜ່ອນອາການແພ້ ແລະ ຜິວຫນັງ.",နှာခေါင်းရည်ကို လျှော့ချပြီး ဓာတ်မတည့်ခြင်းနှင့် ယားယားအဖုများကို လျှော့ချပါ။,减少鼻涕，减少过敏反应和瘙痒性皮疹。
ละลายเสมหะ บรรเทาอาการไอ,A,"dissolves phlegm, relieves cough;","រំលាយ phlegm, បំបាត់ការក្អក;","ລະລາຍຂີ້ເຫຍື້ອ, ບັນເທົາໄອ;",ချွေးကို အရည်ပျော်စေ၊ ချောင်းသက်သာစေ;,溶解痰，缓解咳嗽;
ลดหวัด ไข้ ไอ,A,"Reduce colds, fevers, coughs.",កាត់បន្ថយជំងឺផ្តាសាយ គ្រុនក្តៅ ក្អក។,"ລົດໄຂ້ຫວັດ, ໄຂ້, ໄອ.",အအေးမိခြင်း၊ အဖျားခြင်း၊ ချောင်းချောင်းခြင်းတို့ကို လျော့နည်းစေပါ။,减少感冒、发烧和咳嗽。
บรรเทาอาการไอ ละลายเสมหะ,A,Relieves cough and dissolves phlegm.,បំបាត់ការក្អក និងរំលាយ phlegm ។,ບັນເທົາໄອແລະລະລາຍຂີ້ເຫຍື້ອ.,ချောင်းဆိုးသက်သာစေပြီး ချွေးကို အရည်ပျော်စေသည်။,缓解咳嗽，溶解痰。
แก้แพ้ ลดน้ำมูก ผื่นคัน,A,"Antihistamines, reduce nasal discharge, rashes.","ថ្នាំ Antihistamines, កាត់បន្ថយការហូរច្រមុះ, កន្ទួល។","ຢາ ແກ້ ໄຂ ຮີ ສະ ຕາ ມິນ, ຫລຸດ ນ້ໍາ ໄຫລ ດັງ, ຜິວ ຫນັງ.",ဟစ္စတာမင်းတိုက်ဖျက်ဆေး၊ နှာခေါင်းရည်ကို လျော့နည်းစေခြင်း၊ အဖုအဖုများ။,抗组胺药，减少鼻涕和皮疹。
ลดคลื่นไส้ อาเจียน ปรับลำไส้,A,"Reduce nausea, vomiting, and adjust the intestines.",កាត់បន្ថយចង្អោរ ក្អួត និងកែតម្រូវពោះវៀន។,ຫລຸດຜ່ອນອາການປຸ້ນທ້ອງ ອາການຮາກ ແລະປັບປຸງໄຂ່ຫລັງ.,အန်အန်ခြင်းတို့ကို လျော့နည်းစေပြီး အူလမ်းကြောင်းကို ပြုပြင်ပေးပါ။,减少恶心、呕吐，并调整肠道。
รักษาอาการติดเชื้อราที่หู,A,Treat ear fungal infections,ព្យាបាលការឆ្លងមេរោគផ្សិតត្រចៀក,ປິ່ນປົວການຕິດເຊື້ອເຊື້ອເຫັດໃນຫູ,နားမှိုကူးစက်ရောဂါကို ကုသပါ,治疗耳部真菌感染
แก้แพ้,A,Allergies,អាឡែហ្សី,ອາການແພ້,ဓာတ်မတည့်ခြင်း,过敏症
รักษาผิวหนังอักเสบและเชื้อแบคทีเรีย,A,Treatment of dermatitis and bacterial infections,ការព្យាបាលជំងឺរលាកស្បែក និងការឆ្លងមេរោគបាក់តេរី,ການປິ່ນປົວພະຍາດຜິວຫນັງ ແລະ ການຕິດເຊື້ອບັກເຕເຣຍ,အရေပြားရောင်ရမ်းနာနှင့် ဗက်တီးရီးယားကူးစက်ရောဂါကုသမှု,治疗皮炎和细菌感染
รักษาผิวหนังอักเสบและเชื้อรา,A,Treatment of dermatitis and fungus,ការព្យាបាលជំងឺរលាកស្បែកនិងផ្សិត,ການປິ່ນປົວພະຍາດຜິວຫນັງແລະເຊື້ອເຫັດ,အရေပြားရောင်ရမ်းနာနှင့် မှိုကုသမှု,皮炎和真菌的治疗
รักษาอาการคันจากเชื้อราและผิวหนังแข็ง,A,Treats itching from fungus and hard skin,ព្យាបាលការរមាស់ពីផ្សិត និងស្បែករឹង,ປິ່ນປົວຄວາມคันຈາກເຊື້ອເຫັດແລະຜິວຫນັງແຂງ,မှိုနှင့် အရေပြားမာကျောခြင်းကြောင့် ယားယားခြင်းကို ကုသပေးသည်,治疗真菌和硬皮引起的瘙痒
รักษาท้องเสีย ปวดท้อง จุกเสียด,A,"Treat diarrhea, abdominal pain, colic.",ព្យាបាលរាគ ឈឺពោះ ឈឺចាប់។,"ປິ່ນປົວອາການຖອກທ້ອງ, ເຈັບທ້ອງ, ໂຄລິກ.",ဝမ်းလျှောခြင်း၊ ဝမ်းဗိုက်နာကျင်ခြင်း၊ ဝမ်းဗိုက်ခြင်းကို ကုသပါ။,治疗腹泻、腹痛和肠绞痛。
รักษาโรคกระเพาะ ปรับลำไส้,A,Treatment of gastritis Adjusts the intestines.,ការព្យាបាលជំងឺរលាកក្រពះ លៃតម្រូវពោះវៀន។,ການປິ່ນປົວພະຍາດອັກເສບ ປັບປຸງໄຂ່ຫລັງ.,အစာအိမ်ရောင်ရောဂါ ကုသမှု အူကို ညှိပေးသည်။,胃炎治疗调节肠道。
ดูดซับสารพิษ รักษาท้องเสีย,A,absorbs toxins; Treatment of diarrhea,ស្រូបយកជាតិពុល; ការព្យាបាលជំងឺរាគ,ດູດຊຶມສານພິດ; ການປິ່ນປົວພະຍາດຖອກທ້ອງ,အဆိပ်အတောက်များကို စုပ်ယူ; ဝမ်းလျှောရောဂါကုသခြင်း,吸收毒素;腹泻治疗
ฆ่าเชื้อราที่หู,A,Ear fungicide,ថ្នាំសំលាប់មេរោគត្រចៀក,ຢາຂ້າເຊື້ອເຫັດຫູ,နားမှိုသတ်ဆေး,耳杀菌剂
แก้ปวด ลดอักเสบ ลดไข้,A,"Relieves pain, reduces inflammation Reduce fever",បំបាត់ការឈឺចាប់ កាត់បន្ថយការរលាក កាត់បន្ថយគ្រុនក្តៅ,"ບັນເທົາຄວາມເຈັບປວດ, ຫລຸດຜ່ອນການອັກເສບ ລົດໄຂ້",နာကျင်မှုကို သက်သာစေပြီး ရောင်ရမ်းမှုကို လျော့နည်းစေ အဖျားလျော့နည်း,缓解疼痛，减少炎症退烧
ลดกลิ่นปากและไอจากการคันคอ,A,Reduces bad breath and cough from itchy throat.,កាត់បន្ថយដង្ហើមមិនល្អ និងក្អកពីរមាស់បំពង់ក។,ລົດກິ່ນຫອມແລະໄອຈາກຄໍ.,လည်ချောင်းယားခြင်းမှ ခံတွင်းအနံ့နှင့် ချောင်းဆိုးခြင်းကို လျော့နည်းစေသည်။,减少口臭和因喉咙瘙痒引起的咳嗽。
ยั้บยั้งแบคทีเรีย ลดกลิ่นปากและไอจากการคันคอ,A,Inhibits bacteria and reduces bad breath and cough from itchy throat.,ទប់ស្កាត់បាក់តេរី និងកាត់បន្ថយក្លិនដង្ហើម និងក្អកពីការរមាស់បំពង់ក។,ຢັບຢັ້ງບັກເຕເຣຍແລະລົດກິ່ນຫອມແລະໄອຈາກຄໍ.,ဘက်တီးရီးယားကို တားဆီးပြီး လည်ချောင်းယားခြင်းမှ ခံတွင်းအနံ့နှင့် ချောင်းဆိုးခြင်းကို လျော့နည်းစေသည်။,抑制细菌，减少口臭和因喉咙瘙痒引起的咳嗽。
ลดอาการอักเสบในโพรงจมูก,A,Reduces inflammation in the nasal cavity.,កាត់បន្ថយការរលាកនៅក្នុងប្រហោងច្រមុះ។,ຫລຸດຜ່ອນການອັກເສບໃນຊ່ອງດັງ.,နှာခေါင်းခေါင်းထဲရှိ ရောင်ရမ်းမှုကို လျော့နည်းစေသည်။,减少鼻腔炎症。
รักษาอาการอักเสบของทางเดินหายใจ,A,Treatment of inflammation of the respiratory tract,ការព្យាបាលការរលាកនៃផ្លូវដង្ហើម,ການປິ່ນປົວການອັກເສບຂອງລະບົບຫາຍໃຈ,အသက်ရှူလမ်းကြောင်း ရောင်ရမ်းခြင်းကို ကုသခြင်း,呼吸道炎症的治疗
คลายกังวล,A,Relieve worries,បំបាត់ការព្រួយបារម្ភ,ບັນເທົາຄວາມກັງວົນ,စိုးရိမ်ပူပန်မှုများကို သက်သာစေပါ,减轻忧虑
ยาคลายกังวล,A,Anxiety medication,ថ្នាំបំបាត់ការថប់បារម្ភ,ຢາຄວາມກະວົນກະວາຍ,စိုးရိမ် ပူပန် မှု ဆေးဝါး,抗焦虑药物
ลดกรด ลดอาการจุกเสียด แน่นท้อง ปวดท้อง,A,"Reduce acid Reduce colic, abdominal tightness, abdominal pain.","កាត់បន្ថយអាស៊ីត កាត់បន្ថយការឈឺចាប់, តឹងពោះ, ឈឺពោះ។","ຫລຸດຜ່ອນ acid ລົດຄວາມເຈັບປວດ, ເຈັບທ້ອງ, ເຈັບທ້ອງ.",အက်ဆစ်ကို လျှော့ချပါ ဝမ်းဗိုက်တင်းကျပ်ခြင်း၊ ဝမ်းဗိုက်နာကျင်မှုကို လျော့နည်းစေပါ။,减少酸性减轻肠绞痛、腹部紧绷感和腹痛。
วิตามิน อาหารเสริม,A,Vitamins and Supplements,វីតាមីន និងអាហារបំប៉ន,ວິຕະມິນ ແລະ ອາຫານເພີ່ມເຕີມ,ဗီတာမင်များနှင့် ဖြည့်စွက်ဆေးများ,维生素与补充剂
ระบายท้อง ช่วยขับถ่าย,A,Drain the stomach Helps with bowel movements,បង្ហូរក្រពះ ជួយចលនាពោះវៀន,ຖອກທ້ອງອອກ ຊ່ວຍໃນການເຄື່ອນໄຫວຂອງທ້ອງ,အစာအိမ်ကို ထုတ်ပစ်ပါ အူ လှုပ်ရှား မှု ကို ကူညီ ပေး,排空胃有助于排便
ลดแสบ ปวด จุกเสียดท้อง,A,"Reduce burning, pain, and colic.","កាត់បន្ថយការដុត, ការឈឺចាប់, និង colic.","ຫລຸດຜ່ອນການເຜົາໄຫມ້, ຄວາມເຈັບປວດ ແລະ ຄວາມເຈັບປວດ.",မီးလောင်ခြင်း၊ နာကျင်မှုနှင့် ဝမ်းဗိုက်ခြင်းကို လျော့နည်းစေပါ။,减轻灼烧感、疼痛和肠绞痛。
ปรับลำไส้ รักษาท้องเสีย,A,Adjust the intestines and treat diarrhea.,កែតម្រូវពោះវៀន និងព្យាបាលជំងឺរាគ។,ປັບ ໄຂ່ ແລະ ປິ່ນປົວ ອາການ ຖອກທ້ອງ.,အူလမ်းကြောင်းကို ညှိပေးပြီး ဝမ်းလျှောခြင်းကို ကုသပါ။,调整肠道并治疗腹泻。
ขับลม,A,Expel air,បណ្តេញខ្យល់ចេញ,ຂັບໄລ່ອາກາດ,လေကို ထုတ်ပစ်ပါ,排气
ขับลม จุกแน่น ,A,"Expelling air, tight cork.","ការបណ្តេញចេញខ្យល់, cork តឹង។","ອາກາດໄຫຼອອກ, cork ແຫນ້ນ.",လေထုတ်ခြင်း၊ တင်းကျပ်သောဖော့ဆို့။,排出空气，紧闭软木塞。
โปรตีนไข่ขาว,A,Egg white protein,ប្រូតេអ៊ីនស៊ុត,ໂປຣຕີນຂາວໄຂ່,ကြက်ဥဖြူ ပရိုတင်း,蛋白蛋白
แก้แพ้ เมารถ  ช่วยให้หลับ,A,"Anti-allergy, motion sickness, help you fall asleep.","Anti-allergy, motion sickness, ជួយអ្នកឱ្យគេងលក់។","Anti-allergy, motion sickness, ຊ່ວຍໃຫ້ເຈົ້ານອນຫຼັບ.",ဓာတ်မတည့်ခြင်း၊ လှိုင်းမူးခြင်း၊ အိပ်ပျော်စေသည်။,抗过敏、晕动症，还能帮你入睡。
ฆ่าเชื้อสิวอักเสบ,A,Kills inflammatory acne,សម្លាប់ស្បែករលាក,ຂ້າສິວອັກເສບ,ရောင်ရမ်း သော ဝက်ခြံ ကို သေ စေ,能杀死炎症性痤疮
ฆ่าเชื้อรา,A,Fungicide,ថ្នាំសំលាប់ផ្សិត,ຢາຂ້າເຊື້ອເຫັດ,မှိုသတ်ဆေး,杀菌剂
แก้เวียนหัว น้ำในหู หูอื้อ,A,"Relieves dizziness Watering in the ears, tinnitus.","បំបាត់ការវិលមុខ ទឹកក្នុងត្រចៀក, tinnitus.","ບັນເທົາຄວາມເບື່ອຫນ່າຍ ຫົດ ນ້ໍາ ໃສ່ ຫູ, ຫູ ຫູ.",မူးယစ်ခြင်းကို သက်သာစေ နားထဲမှာ ရေလောင်းခြင်း၊ နားကြားခြင်း။,缓解头晕耳朵流水，耳鸣。
แก้แพ้  น้ำมูก จาม คันตา ผื่นคัน,A,"Allergies, runny nose, sneezing, itchy eyes, rash","អាឡែហ្ស៊ី, ច្រមុះ, កណ្តាស់, រមាស់ភ្នែក, កន្ទួល","ອາການແພ້, ນໍ້າໄຫຼ, ຈາມ, ຕາເຈັບ, ຜິວຫນັງ",ဓာတ်မတည့်ခြင်း၊ နှာခေါင်းစီးခြင်း၊ နှာချေခြင်း၊ မျက်လုံးယားခြင်း၊ အဖုအဖု,过敏、流鼻涕、打喷嚏、眼睛痒、皮疹
ยาโรควิตกกังวล,A,Anxiety Disorder Medications,ថ្នាំជំងឺថប់បារម្ភ,ຢາປິ່ນປົວພະຍາດກະວົນກະວາຍ,စိုးရိမ် ပူပန် မှု ရောဂါ ဆေးဝါး များ,焦虑症药物
แก้เมารถ เมาเรือ,A,Relieve motion sickness and seasickness.,បំបាត់ជំងឺចលនា និងជំងឺសមុទ្រ។,ບັນເທົາຄວາມເຈັບປ່ວຍແລະເມົາເຮືອ.,လှိုင်းမူးခြင်းနှင့် လှိုင်းမူးခြင်းတို့ကို သက်သာစေပါ။,缓解晕车和晕船。
แก้วิงเวียนศรีษะ,A,Kaewing Ning Dien Si,កៃវីង នីង ឌីនស៊ី,Kaewing Ning Dien Si,ကေဝင်နင်း ဒီယန်စီ,凯英宁丁思
รักษาหูอื้อ,A,Tinnitus treatment,ការព្យាបាល Tinnitus,ການປິ່ນປົວຫູຫູ,အကြားနာကုသမှု,耳鸣治疗
รักษาผมร่วง,A,Hair loss treatment,ការព្យាបាលការជ្រុះសក់,ການປິ່ນປົວການສູນເສຍຜົມ,ဆံပင်ကျွတ်ခြင်းကုသမှု,脱发治疗
ขยายหลอดลม,A,Dilate the trachea.,ពង្រីក trachea ។,ຂະຫຍາຍ trachea.,လေပြွန်ကို ကျယ်စေပါ။,扩张气管。
บรรเทาอาการหอบหืด,A,Relieves asthma symptoms,បំបាត់រោគសញ្ញាជំងឺហឺត,ບັນເທົາອາການຫອມ,နာကျင်ရောဂါလက္ခဏာများကို သက်သာစေပါ,缓解哮喘症状
ลดอาการเจ็บคอ,A,Reduces sore throat,កាត់បន្ថយការឈឺបំពង់ក,ລົດຄວາມເຈັບຄໍ,လည်ချောင်းနာကို လျော့နည်းစေ,减轻喉咙痛
ลดความดันโลหิตสูง,A,Reduces high blood pressure,កាត់បន្ថយសម្ពាធឈាមខ្ពស់,ລົດຄວາມດັນເລືອດສູງ,သွေးတိုးခြင်းကို လျှော့ချ,降低高血压
รักษาโรคเบาหวาน,A,Diabetes treatment,ការព្យាបាលជំងឺទឹកនោមផ្អែម,ການປິ່ນປົວພະຍາດเบาหวาน,ဆီးချိုရောဂါကုသမှု,糖尿病治疗
ช่วยให้นอนหลับ,A,Helps sleep,ជួយគេង,ຊ່ວຍນອນຫຼັບ,အိပ်ပျော်စေတယ်,有助于睡眠
รักษาโรคเก๊าท์,A,Treatment of gout,ការព្យាបាលជំងឺgout,ການປິ່ນປົວພະຍາດໂຣຄາ,နာကျင်ရောဂါကုသမှု,痛风治疗
รักษาต่อมลูกหมาก,A,Prostate treatment,ការព្យាបាលក្រពេញប្រូស្តាត,ການປິ່ນປົວ Prostate,ပရိုစတိတ် ကုသ မှု,前列腺治疗
แก้ปวดปลายประสาท,A,Relieves nerve ending pain,បំបាត់ការឈឺចាប់បញ្ចប់សរសៃប្រសាទ,ບັນເທົາຄວາມເຈັບປວດທີ່ສິ້ນສຸດຂອງປະສາດ,နဗ်ကြောအဆုံးသတ်နာကျင်မှုကို သက်သာစေပါ,缓解神经末梢疼痛
ปรับสมดุลช่องคลอด,A,Balance the vagina.,តុល្យភាពទ្វារមាស។,ໃຫ້ ຄວາມ ສົມ ດຸນ ຂອງ ຊ່ອງ ວ່າງ.,ယောဝကို ဟန်ချက်ညီစေပါ။,平衡阴道。
รักษาสิว,A,Acne treatment,ការព្យាបាលស្បែក,ການປິ່ນປົວສິວ,ဝက်ခြံကုသမှု,痤疮治疗
รักษารอยแผลเป็น,A,Scar treatment,ការព្យាបាលស្លាក,ການປິ່ນປົວຮອຍແຜ,အမာရွတ်ကုသမှု,疤痕治疗
ประจำเดือนมาไม่ปกติ,A,Menstruation is irregular.,ការមករដូវគឺមិនទៀងទាត់។,ປະຈໍາເດືອນບໍ່ເປັນປົກກະຕິ.,ရာသီလာခြင်းသည် ပုံမှန်မဟုတ်ချေ။,月经不规律。
ฆ่าเชื้อในช่องปาก,A,Oral disinfection,ការសំលាប់មេរោគតាមមាត់,ການຂ້າເຊື້ອພະຍາດໃນປາກ,ခံတွင်း ပိုးသတ်ဆေး,口腔消毒
ขยายหลอดลม และขับเสมหะ,A,Dilates the bronchi and expels phlegm.,ពង្រីក bronchi និងបណ្តេញចេញ phlegm ។,ຂະຫຍາຍປອດແລະຂັບຂີ້ເຫຍື້ອອອກ.,အဆောက်အအုံကို ကျယ်စေပြီး ချွေးကို ထုတ်ပစ်သည်။,扩张支气管并排出痰。
บรรเทาอาการไอ ระคายเคืองคอ,A,Relieves cough and throat irritation.,បំបាត់ការក្អក និងរលាកបំពង់ក។,ບັນເທົາໄອແລະລໍາຄໍ.,ချောင်းချောင်းနှင့် လည်ချောင်းယားယားခြင်းကို သက်သာစေသည်။,缓解咳嗽和喉咙刺激。
บรรเทาอาการไอ ลดไข้ น้ำมูก,A,"Relieves cough, reduces fever, nasal discharge.",បំបាត់ការក្អក កាត់បន្ថយគ្រុនក្តៅ ទឹកច្រមុះ។,"ບັນເທົາໄອ, ລົດໄຂ້, ໄຫຼອອກດັງ.",ချောင်းချောင်းသက်သာစေ၊ အဖျားလျော့နည်းစေ၊ နှာခေါင်းရည်ထွက်စေတယ်။,止咳，退烧，鼻涕。
บรรเทาอาการหวัด คัดจมูก,A,Relieves cold symptoms and nasal congestion.,បំបាត់រោគសញ្ញាផ្តាសាយ និងការកកស្ទះច្រមុះ។,ບັນເທົາອາການໄຂ້ຫວັດແລະອັດດັງ.,အအေးမိခြင်းလက္ခဏာများနှင့် နှာခေါင်းပိတ်ခြင်းကို သက်သာစေသည်။,缓解感冒症状和鼻塞。
สำหรับฉีดเข้าเส้นเลือด,A,For intravenous injection,សម្រាប់ការចាក់តាមសរសៃឈាមវ៉ែន,ໃຊ້ສໍາລັບການສັກຢາທາງເສັ້ນເລືອດ,အကြော ထိုး သွင်း ခြင်း အတွက်,用于静脉注射
เสริมวิตามินบี,A,Supplement with B vitamins,បំប៉នវីតាមីន B,ເພີ່ມເຕີມດ້ວຍວິຕະມິນ B,ဗီတာမင်ဘီ ဖြည့်စွက်ခြင်း,补充B族维生素
บำรุงโลหิต,A,Blood nourishment,ការចិញ្ចឹមឈាម,ການບໍາລຸງລ້ຽງ,သွေးအာဟာရ,血液营养
ละลายเสมหะ,A,dissolves phlegm;,រំលាយ phlegm;,ລະລາຍຂີ້ເຫຍື້ອ;,ချွေးကို အရည်ပျော်စေတယ်။,溶解痰液;
เจริญอาหาร,A,Appetite,ចំណង់អាហារ,ຄວາມຢາກອາຫານ,ခံတွင်း,食欲
แก้แพ้ผื่นคัน,A,"Allergic to rashes, itching.","អាឡែហ្ស៊ីទៅនឹងកន្ទួល, រមាស់។","ມີອາການແພ້ຕໍ່ຜິວຫນັງ, ເຈັບປວດ.",အဖုအဖု၊ ယားယားခြင်းကို ဓာတ်မတည့်ပါ။,对皮疹过敏，瘙痒。
ลดน้ำมูก แพ้อากาศ,A,Reduce nasal discharge and air allergies,កាត់បន្ថយការហូរច្រមុះ និងអាឡែហ្ស៊ីខ្យល់,ຫລຸດຜ່ອນນໍ້າໄຫຼອອກຈາກດັງແລະອາການແພ້ໃນອາກາດ,နှာခေါင်းရည်ထွက်ခြင်းနှင့် လေဓာတ်မတည့်ခြင်းကို လျော့နည်းစေပါ,减少鼻涕和空气过敏
บรรเทาอาการคัดจมูก,A,Relieves nasal congestion,បំបាត់ការកកស្ទះច្រមុះ,ບັນເທົາຄວາມອັດດັງດັງ,နှာခေါင်းပိတ်ခြင်းကို သက်သာစေ,缓解鼻塞
แก้ไอ ละลายเสมหะ,A,"Cough relief, phlegm dissolution",ការបំបាត់ក្អក ការរំលាយ phlegm,"ບັນເທົາໄອ, ຂີ້ເຫຍື້ອລະລາຍ",ချောင်းသက်သာစေ၊ ချွေးပြေသွားခြင်း,止咳，祛痰
แก้ไอ ขับเสมหะ,A,"Cough relief, expectorant","ការបំបាត់ក្អក, expectorant","ບັນເທົາໄອ, ຢາເສບຕິດ",ချောင်းဆိုးသက်သာစေခြင်း၊ အကျပ်ဆေး,止咳药，放痰剂
ฆ่าเชื้อในทางเดินหายใจ,A,Disinfect the respiratory tract.,សម្លាប់មេរោគផ្លូវដង្ហើម។,ຂ້າເຊື້ອພະຍາດທາງເດີນຫາຍໃຈ.,အသက်ရှူလမ်းကြောင်းကို ပိုးသတ်ပါ။,消毒呼吸道。
